Cell Name,Shape,Nominal Voltage (V),Cell Capacity (Ah),Cell Weight (kg),Cell Diameter/Cell Length (mm),Cell height (mm),Third dimension (mm),Cell Volume (L),Max Charging current,Max Discharging current,Cycle life at 1C,Cost/cell,Cell (Wh/kg ),Cell (Wh/L ),Series (#),Pack Voltage  (V),Parallel Theoretical,Parallel (#),Pack Capacity (Ah),Cells Total,Energy (KWh),Pack Weight (kg),Pack Volume (L),Wh/kg (pack) (cells + 30%),Wh/L (pack) (cells + 40%),Chemistry,Safe current,Max Discharge current,Energy Expected,Expected Voltage,Km Expected,Km Actual,,
21700,Cylindrical,3.7,5,0.07,21,70,16.492875,0.02424,1,2,1000,,264.2857143,763.2013201,4,14.8,89.18918919,90,450,360,6.66,32.76,12.22,203.3,545.01,NMC,2.5,10,"6,600",12,200,202,,
CBAK32140,Cylindrical,3.2,15,0.305,33.4,140.3,26.231525,0.12292,1,2,2500,,157.3770492,390.4978848,4,12.8,34.375,35,525,140,6.72,55.51,24.09,121.06,278.95,LFP,7.5,30,"6,600",12,200,204,,
Shenzen Fbtech32700,Cylindrical,3.2,6,0.143,32.8,70.9,25.7603,0.05991,1,3,2000,,134.2657343,320.4807211,4,12.8,85.9375,86,516,344,6.6,63.9496,28.85,103.21,228.77,LFP,3,18,"6,600",12,200,200,,
Hunan Huaxin32700,Cylindrical,3.2,6,0.145,32.5,70.9,25.5246875,0.05882,1,3,2000,,132.4137931,326.4195852,4,12.8,85.9375,86,516,344,6.6,64.844,28.33,101.78,232.97,LFP,3,18,"6,600",12,200,200,,
DMEGC18650,Cylindrical,3.7,3.2,0.048,18.25,65.95,14.33309375,0.01725,1,3,1000,,246.6666667,686.3768116,4,14.8,139.3581081,140,448,560,6.63,34.944,13.52,189.73,490.38,NMC,1.6,9.6,"6,600",12,200,201,,
DMEGC21700,Cylindrical,3.7,4.5,0.076,21.5,70.75,16.8855625,0.02569,1,3,800,,219.0789474,648.1121059,4,14.8,99.0990991,100,450,400,6.66,39.52,14.39,168.52,462.82,NMC,2.25,13.5,"6,600",12,200,202,,
Jianxi huanliyuan26650,Cylindrical,3.7,5,0.096,26.4,65.5,20.7339,0.03585,1,3,1500,,192.7083333,516.0390516,4,14.8,89.18918919,90,450,360,6.66,44.928,18.07,148.24,368.57,NMC,2.5,15,"6,600",12,200,202,,
EVPS26650,Cylindrical,3.2,5,0.1,26.6,71.2,20.890975,0.03957,1,2,2000,,160,404.3467273,4,12.8,103.125,104,520,416,6.66,54.08,23.05,123.15,288.94,LFP,2.5,10,"6,600",12,200,202,,
EVE628ah,Prismatic,3.2,628,11.5,353,207,71.8,5.2465,1,2,8000,,174.7478261,383.0363099,4,12.8,0.821058917,1,628,4,8.04,59.8,29.38,134.45,273.66,LFP,314,1256,"6,600",12,200,244,,
Histar50ah,Prismatic,3.2,50,1.5,193,115.7,36.7,0.81951,1,3,3500,,106.6666667,195.2386182,4,12.8,10.3125,11,550,44,7.04,85.8,50.48,82.05,139.46,LFP,25,150,"6,600",12,200,213,,
